Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"Reduce the daily, ever growing automobile traffic and congestion. Improve public transportation options with bike shares, mini buses, better parking. Manage existing traffic flow better. Stop adding big buildings and businesses and increasing the workday population by the drastic numbers it has increased to now.  Limit the ever expanding size and huge neighborhood footprint of SMCC.  Disallow the building of ""McMansions"" that have almost zero set backs and are congesting the look and feel of neighborhoods and reduce privacy directly between neighbors and steal or block views.  Keep the airport, but, ban jet traffic and maintain current flight paths. Develop better uses to augment the existing airport facilities and businesses.  Refurbish the Civic Auditorium and use it for: Arts & Entertainment, Conventions and other special events. Bring that life back to Santa Monica.",Transport,Congestion,Aiport/Air traffic,Positive airport,Transport,Public transport,Culture,Amenities and events,Development,Against development - Congestion/Overcrowding,,,,,,
2015,Stop run away development.  Close the airport and turn it into a park.  Make real bike lanes separated from traffic and pedestrians by a curb.  Support more affordable housing in Santa Monica that are not studio apartments for yuppies so real people can still live in our beautiful city and make use of our excellent city services.  Increase support for schools.,Development,Against development,Local services,Schools,Aiport/Air traffic,Negative airport/Air traffic,Transport,Improved infrastructure for cycling/pedestrians,Housing,Affordability,,,,,,
2015,1.  NOT ALLOW SKATEBOARDS OR BICYCLES ON SIDEWALKS      2 STRICK LAWS ON MOTORCYCLE NOISE FROM LACK OF MUFFLERS      3RESTORING OLD BBB BUS BENCHES WITH ADDED OVERHEAD SHELTER      4.  REGULATING THE AMOUNT OF SM STUDENTS ALLOWED ON LOCAL BUSSES       5.  HAVE MORE BUILDINGS LANDMARKED./ MORATORIUM ON ALL NEW BIG DEVELOPMENTS       6.  ABSOLUTELY NO MORE STARBUCKS AND SUBWAY FRANCHISES IN SM...,Transport,Enforce traffic laws on bikes,City general,Noise,Transport,Public transport,Development,Against development,Other,Other,,,,,,
2015,"1. Get rid of the Pavilliions Motel on Ocean Pk. Blvd and 23rd.  It has been a haven for prostitution and other crimes and puts everyone nearby in danger.  2. Stop gving out liquor licenses.  We have enough here. 3.  Price parking fairly; residents are VERY unhappy with parking all over town.  4. Support public schools, step up anti gang programs, help the homeless to get jobs and get help.",Local services,Homeless,Local services,Schools,Other,Other,Crime and safety,Public safety,Transport,Parking,,,,,,
2015,"Close the airport, slow the rampant, oversized development, abolish development agreements, reduce tourist serving retail, restore resident serving retail, restore the miles of auto lanes that have been removed from major arteries, remove curb extensions that narrow streets, provide 3-hour free parking in the public lots, add parking to the Expo line stations so that we can really use transit, create a resident pass for the Memorial Park Gym that has a fixed number of uses no matter when they are taken rather than a monthly pass (similar to the municipal pool).",Aiport/Air traffic,Negative airport/Air traffic,Transport,Parking,Development,Against development,Transport,Improve infrastructure for cars,Transport,Public transport,,,,,,
2015,"Traffic is so bad in our neighborhood that we cannot turn onto our street at night due to people blocking the intersections.There are hours of the day and night that emergency vehicles would not be able to reach my elderly neighbors due to the traffic blocking the streets. This worries me.  The city is its employees and officials are totally unsupportive and do not care and have done nothing to improve our life here int he 90405. We pay more taxes for the inconvenience of living here and it has gotten much worse over the last 5 years with increased development and increased enrollment at SMC.  The elementary school in our neighborhood has declined and the classes are over crowded. It is not worth living here and we are professionals and would love to move if we could find employment elsewhere. It is not worth it to live in the southern section of Santa Monica.  This is a city divided by the 10 freeway and a city counsel who only cares about the developers and not about its residents. They claim they are developing to assist low cost housing but that is not true.  Santa Monica is over crowded and there is no effort made to decrease the congestion on Pico, Ocean Park and Pearl streets (a small residential street that is used as an alternative to the 10).  The airport noise is out of control and the pollution from the jets and the traffic concerns me and I'm concerned about the health of my minor children.  Again, the City Counsel and Santa Monica officials appear indifferent.  Maybe it is because they all live in the protected North of Montana section of the city where there  is no traffic and the schools have programs for children who are advanced.  On our end of town we only have programs for children with special educational needs, but at Franklin they have a special teacher for gifted children. Why don't the kids in the 90405 have the same opportunities?  If anybody asked me if they should move the Santa Monica,I would tell them NO. Don't waste your money.  You will pay extra for traffic, pollution, a city counsel in the pocket of developers, under performing over crowded schools and the inability to maintain your home due to regressive regulations that create extra taxation in the form of a permitting system that unreasonably regulates any home improvement.  So, if you purchase a home in Santa Monica there is a disincentive to maintaining your property or improving it. Yet, developers are easily able to purchase homes , scrape the lots and build a new home.  The stress caused by the traffic and noise is affecting my wellbeing.  Our community is being suffocated by the over development, traffic and airport noise and pollution and the disincentive to improve and maintain our property. This affects our overall health and well being of our community",Transport,Congestion,Transport,Parking,Development,Against development - Congestion/Overcrowding,Airport/Air traffic,Negative airport/Air traffic,,,,,,,,
2015,"We need to elect people to the City Council who are NOT members of SMRR.  This group of radicals is ruining the city,  Their social agenda is to turn SM into a regional social service center.  We have too many CCSM units, too many Step up on 2nd housing for LA County's mentally ill.  And their social agenda is funded by commercial development this is causing too much traffic, and the low income housing is generating too much crime. Every shooting in the Pico Neighborhood is adjacent to a low income housing project.  Rent control should be means tested. Now it is just legalized vote buying. SMRR puts a rent control issue on the ballot and demonizes the rental housing providers telling the tenants vote the SMRR ticket or those evil rental housing providers will evict you.  The one thing we really need is DISTRICT ELECTIONS FOR CITY COUNCIL",Housing,Remove rent control/Address gaming the system,Development,Against development - Congestion/Overcrowding,Housing,Affordability,City Council,Negative view of City Council,,,,,,,,
2015,"Well, if there was some kind of cap on how many apartments and condos per house or sq mile were allowed that would GREATLY help with traffic and crowding issues!  I think generally the more people you try to cram into a small area the less happy people would be.  And rent is SOOO cotton pickin high that most people that work in SM can't afford to live there as well!!!!  And graffiti seems to be on a rise as my business has been attacked several times in the last month! And the officials of the city being so unreasonable and looking out for their own interests makes a lot of people feel as though they live in dictatorship, AKA The Republic of Santa Monica.  Free citi-wide wifi would be a nice addition.",Development,Against development - Congestion/Overcrowding,Housing,Affordability,City Council,Negative view of City Council,City general,Internet,,,,,,,,
2015,The city needs to stop all the residential building going on in the area as well as stop building more hotels.  A transient population (defined as tourists and renters) is not conducive to building a sense of community within the city.  And the noise level in the city is unacceptable. Even the hybrid buses are noisy. The all electric vehicles emit a high-pitched noise. And the street cleaning every day of streets close to the beach wastes both water and energy. The wait list for community gardens now exceeds ten years. We could use more community garden spaces.,City general,Other,City general,Community gardens/Green space,Development,Against development,City general,Noise,,,,,,,,
2015,"Well, 4 things actually. 1) Santa Monica should renovate the Civic Center so it becomes a concert venue again. We need more cultural and music events in our own area. Driving to downtown LA or Hollywood for shows is practically impossible in weeknight traffic, and as a result, it is much harder for Westside residents to enjoy the arts. 2) Santa Monica should continue efforts to close the airport, which is a source of constant noise. At least close the flight schools, which are responsible for much of the noise--and we should not have student pilots practicing over urban neighborhoods. 3) I would like to get back to doing bootcamps with my neighbors in Santa Monica's own parks. I used to work out with a very nice group in Clover Park, but the City Council passed such high usage fees that the class had to move to Penmar Park in Venice. This is a much dingier and more depressing setting. An affordable boot camp was one of the ways I enjoyed the outdoors, stayed fit, and used the parks, but the City Council made it impossible for our teacher to make a living within the SM city limits. Now outdoor fitness training is only available for rich people in Santa Monica. 4) Focus on beautifying Lincoln Boulevard in Ocean Park. That stretch of urban blight and car dealerships is a very depressing environment and a gateway into the city that gives a terrible impression. It discourages walking.",Culture,Amenities and events,Airport/Air traffic,Negative airport/Air traffic,Personal,Be healthier,City general,Cleanliness/Maintenance,,,,,,,,
2015,"I believe that Santa Monica is a beautiful city but I am concerned with the cleanliness of our coastline, I am concerned with the homeless population and their needs not being met, the affordability of housing in the city, and the lack of low cost leisure activities. It is also difficult to find time and afford to exorcise or take fitness classes in my neighborhood.",Local services,Homeless,Housing,Affordability,Personal,Work-life balance/More free time,City general,Cleanliness/Maintenance,,,,,,,,
2015,"Lower property taxes and no city transfer tax on sales of home.  More parking at the new Metro line when it reaches Santa Monica so I can drive a car to the Metro station, park it, and take the new Metro downtown.",Housing,Other,Transport,Parking,Transport,Public transport,Cost of living,Lower taxes,,,,,,,,
2015,"ONE thing? You must not be very serious. Safer, wider, shaded sidewalks; allow me to bring my well-behaved, leashed dog into public indoor spaces (City Hall, Library, SMC, church etc.); better signage on the sidewalks so all cyclists KNOW riding on the sidewalks is illegal in Santa Monica; limit the amount of time developers can block a public sidewalk while their structure is built and make them accountable for blocking pedestrian access); elected officials more responsive to resident rather  than development and commercial interests; left turning lanes on every city street; traffic lights that automatically provide a walk light for pedestrians without having to push a button; diagonal crosswalks at every intersection with a traffic light that allows pedestrians to cross diagonally during a pedestrian only crossing  light; solar panels with pressure sensitive LED lights in the sidewalks and alleyways so it's easier/safer to walk around at night after dark; patrol officers who walk/bike a beat around town; modern animal shelter (Santa Monica's Animal Shelter is outstanding but the facilities are decades old and out if date; few residents know there is a city animal shelter or where it is so many residents go to West LA city facility on Pico to adopt a pet); making pedestrian safety a priority over development money.",Transport,Improved infrastructure for cycling/pedestrians,Transport,Enforce traffic laws on bikes,City Council,Negative view of City Council,Crime and safety,Public safety,,,,,,,,
2015,"Stop development completely for 5 or more years - complete and stop of all designs and approvals by the planning commission and city council.  Stop inviting, supporting and increasing the bum population.  Stop letting the city council and administrators make decisions in the middle of the night behind closed doors. Stop putting more taxes on my property tax bill to pay for items that I neither need, care about or am willing to support.  Stop putting ballot measures on that will cost me more because 70% of the voters won't have to pay their share.  Stop increasing parking permit costs, as nothing more is offered for the increased cost.  Stop allowing emergency services to come multiple times to look at bums passed out on the sidewalk, print FULL crime statistics in the paper(s), not just bum crime - as in, what is REALLY happening in Santa Monica..Stop making everything downtown one lane, creating traffic nightmares, More transparency in lawsuits and those named and the progress of same (Pam O'Connor, Riel, Gould fiasco), stop letting developers define my future and my kid's future.. RESCIND the bicycle law letting idiots ride in the middle of the lane up Wilshire - Give the senior center BACK to the seniors in Palisades park. Stop importing students on permits, just to get the funding from the state for higher head counts, while we are forced to deal with our kids being scared at school and gang activity that is out of control. I have more suggestions, but have to get back to work to pay my taxes that support all the lame, stupid and bottomless pits of losers that Santa Monica loves to support.",Development,Against development - Congestion/Overcrowding,City council,Negative view of city council,Transport,Parking,Crime and safety,Public safety,,,,,,,,
2015,"Traffic and too many tourists. It's difficult to shop or go to the beach when we have great weather. Parking is way over priced as a resident. I shop in Culver City and away from my community. The city isn't friendly to the residents. Free cultural events are so packed it keeps me away. Other cultural events usually cost $25.00 and up! Again, I go elsewhere for my entertainment. The city is very expensive.  Thanks for letting me express my concerns.",Transport,Congestion,Development,Against development - Congestion/Overcrowding,Cost of living,Affordability,Culture,Amenities and events,,,,,,,,
2015,"On one-hand SM wants to believe its the Green City of the US.  While in reality, it is actually the opposite on multiple fronts and getting worse.  Including over-development (both residential and commercial), unmanageable traffic, pollution (both streets and beaches), wasteful landscaping (damaging vehicles/increase need for street cleaning, etc.).  It encourages homeless to come from all over the US, however, they don't address the harassment, vandalism, burglaries and pollution caused by such.  I strongly believe in capitalism (USC MBA), however, what has happen in SM over the past 20 years (more specifically last 5 years) is disgusting at best and contradicts all that SM portrays about itself.  Actually, SM should be submitted to UCLA's Luskin's School to evaluate and use as a case study for what was and continues to be mistakes as well as how the role (or lack thereof) by the City Counsel has acted as enablers (and their relationships with such pro-developer groups).  Very sad.",Transport,Congestion,Local services,Homeless,City Council,Negative view of City Council,Development,Against development,,,,,,,,
2015,"Stop building these mixed use buildings that bring in the scuz of people from all walks of life.   Keep the airport and stop bellowing about it.   Get a Target and Walmart into this city, preferably the mall.  Clean up north of pico.",Aiport/Air traffic,Positive airport,City general,Cleanliness/Maintenance,Cost of living,Affordability,Development,Against development,,,,,,,,
2015,I would like traffic to be alleviated. I would like the city to stop increasing property taxes. I would like to see more social services north of Montana. I would NOT like to see sky scrapers in downtown santa monica. I would like to see santa monica promote small businesses instead of businesses like STARBUCKS. I would like to see a different city council!,Transport,Congestion,Development,Against development,Local services,Other,Development,More diverse and independent businesses,,,,,,,,
2015,"It's too hard to pick one...    - Put more effort into reducing the number of transients and homeless people. There is too much petty theft and crime involving transients and homeless people. We need to do a better job of cleaning it up if we're going to be named one of the best cities to live in.    - Transportation. Santa Monica is a small community (particularly west of Lincoln) and there should be more city-supported transportation options like electric vehicle rides or golf cart rides between neighborhoods in/around SaMo, e.g. 3rd St. Promenade to Main St. or Main St. to Abbot Kinney. Uber stays very busy in SaMo so why aren't we capitalizing on it? Not to mention it will free up the bottlenecks in Downtown Santa Monica (particularly Arizona, Colorado, and Broadway between Ocean and Lincoln).    - Create a forum for home owners (not renters) to meet and discuss how they feel about the city and things that can be improved. After all, owners are the ones paying taxes.    - The city is making it increasingly difficult and costly for people to make upgrades to their homes. Permits are harder to get, inspections are getting tougher to pass (probably the toughest of any other city in the state), building codes are intensifying...all these things make it impossible for old homes (some over 100 years old) to be upgraded without an exorbitant amount of money and work. What's particularly bothersome are the large developers who bought their way into this town and are building huge developments that are incredibly ugly to look at, namely the multi-colored structures recently built near Tongva Park. And residents who actually live and pay taxes in the city can't have a say in their own home without going through a painstaking process that may or may not get permitted? That's just absurd.    - Parts of the city need a facelift, particularly commercial areas (e.g. Lincoln Blvd. south of Pico). Ugly storefronts, old stores...the city should give incentives for store owners to make improvements, particularly to their storefronts, so it's more pleasing to look at for residents and visitors.     - Jobs for residents. There should be more opportunities for residents to find work in Santa Monica and employers should have a better way of reaching out to residents about job opportunities. Being able to live and work in Santa Monica will improve our economy and employees will be happier.",Crime and safety,Public safety,City general,Cleanliness/Maintenance,Transport,Public transport,Development,Against development,,,,,,,,
2015,"We need affordable housing and having access to affordable food. The traffic to downtown Santa Monica from Montana is awful on the weekends, it makes us not want to go there. The traffic issue really needs to be dealt with. Stop all the new building. It's raising the price of everything and bringing too many people.",Housing,Affordability,Cost of living,Affordability,Transport,Congestion,Development,Against development,,,,,,,,
2015,"Reduce traffic, quit overdeveloping the city, increase the amount of green space, etc. There seems to be a disconnect between making the city ""sustainable"" at the same time we are adding more and more housing units, tearing down long term businesses, reducing the amount of affordable housing, spending too much money on consultants to tell the city what to do. This city was a great place to live when I moved here and was still a very nice place up until about 5-7 years ago. There seems to be too much emphasis on bringing in tourists, revenue, etc. instead of making the city more inviting for its residents. It is almost impossible to get anywhere quickly. The bike lanes are fine but it is very dangerous to ride a bike on the streets here so they seem like window dressing to show that the city is improving traffic. Parking has become very difficult and expensive. At one time I planned to retire here but I am now planning to move out of the city after I retire.",City general,Community gardens/Green space,Transport,Parking,Transport,Improved infrastructure for cycling/pedestrians,Development,Against development,,,,,,,,
2015,"I would like to leave Santa Monica, since it has veered from being a mid-sized resort community into Manhattan-by-the-Sea. The congestion, which is directly traceable to commercial (and, more recently, residential) development; the noise (from increased traffic and the jets at SMO); the city's focus on tourists first (the Promenade, hotels, Tongva Park, etc.) and residents second; the delusion that the Expo Line will decrease traffic and moderat density; and the insensitivity to the limited water and power resources availble make life here increasingly stressful, inconvenient, and combative (the community activism required to overturn the Hines project is a good example).",Transport,Congestion,Development,Against development - Congestion/Overcrowding,City general,Noise,Environment,Improve environmental sustainability,,,,,,,,
2015,Make bicycling safer by providing more separated bike facilities which appeal to women and children. Densify around transit stops to create an environment where more people can live car free or light. Deck the freeway to lower small particle pollution which plagues those who live and work near freeway. Turn airport into park.,Aiport/Air traffic,Negative airport/Air traffic,Transport,Public transport,Transport,Improved infrastructure for cycling/pedestrians,Environment,Improve environmental sustainability,,,,,,,,
2015,"Traffic, noise  Affordable practical shopping options   Too many SFR are being turned into expensive short term rentals",Transport,Congestion,City general,Noise,Cost of living,Affordability,Housing,Affordability,,,,,,,,
2015,"The traffic, the bums everywhere, quit increasing taxes such as transfer tax for homeowners. Allow fitness classes for free at Palisades Park, the City is trying to charge too much for services and cutting back on things that make Santa Monica truly an amazing city. They are doing a terrible job at the planning commission on traffic and planning lately.",Transport,Congestion,Local services,Homeless,Cost of living,Lower taxes,Local services,Fitness and wellbeing facilities,,,,,,,,
2015,"Stricter air quality   Stricter noise reduction in community  More family holiday festivals and events. The city needs to celebrate, decorate and rejoice to make us feel festive during holiday season -decorate city   More dog friendly parks & a space at a beach with places for our digs to run and stay healthy",Environment,Other,City general,Noise,Culture,Amenities and events,Local services,Other,,,,,,,,
2015,"For the amount of taxes we pay and the money raised from the very efficient parking meters, we should have the world class public elementary, middle and high schools. But, for instance our local elementary school John Muir has a very low rating and bad reputation.  I also feel Santa Monica should be leading the way in eliminating excess water waste since we are in drought. But, you still see watering of plants on Ocean Park and power washing of Main street. I also feel that there should be health assessment of the airport noise and pollution. There should more options like the St. Joseph's Early Learning Center where they offer low income kids a free scholarship to pre-school.  I would like to see more art in our community and more celebration of diversity. I know that we have trash cans every 10 feet on the beach but why do we have so much trash on the beaches? My friends just spent the weekend picking up 10,000 pieces of trash with Heal the Bay...why is this such a problem? The signs on the beach should be bigger so swimmers and surfers don't interact in the same area. The signs are very small and only in front of the lifeguard stand.     The increase every year in taxes is very stressful and pushing out the middle class. I have lost four neighbors in the last year because of the increase in the housing tax rate.  The fact that you have to fill out a RP-87 decline form (can't talk to anyone) to say that some homes were not sold for more than market value is unacceptable. Its really unfortunate that the taxes increase but see no change in schools or government services for all the people of Santa Monica.",Culture,Amenities and events,Environment,Improve environmental sustainability,Environment,Water security,Local services,Schools,,,,,,,,
2015,"Solve the problem of the homeless (I participate to the count in January)  Solve the parking problem.  I am scarred of the metro and to get more homeless from downtown L.A..  Most of the people are single so maybe organize activities so they could talk to each other.  More umbrellas and chairs at the beach at a decent price, allow more concessions and not only PERRY'S.",Transport,Parking,Community,Integration/Neighborliness,Other,Other,Local services,Homeless,,,,,,,,
2015,Close the Santa Monica airport or at the least stop jet traffic out of the airport.  Advocate for improved street design to help eliminate congestion on north-south streets.  Slow growth in the city and reduce the advocacy for low cost housing.  Improve services to the homeless and help get them off of the streets and into stable or helpful living situations.,Housing,Affordability,Aiport/Air traffic,Air traffic noise,Transport,Congestion,Local services,Homeless,,,,,,,,
2015,"I would like to make more money from home, so that I'm able to provide myself and my children a nice home to live in (in an area we like) and enjoy more of life's beauties and opportunities that are available.  I would like the City to improve the wellbeing of my community by making it a cleaner, safer and less traffic filled spot with more parking spaces available for those that live there.",Transport,Congestion,Transport,Parking,City general,Cleanliness/Maintenance,Personal,Financial,,,,,,,,
2015,"Less growth, thus less traffic congestion.  Transient control. Keep the airport open.",Aiport/Air traffic,Positive airport,Development,Against development,Development,Against development - Congestion/Overcrowding,Transport,Congestion,,,,,,,,
2015,"stop all the overdevelopment and construction  way too many gardeners EVERY DAY with leaf blowers, lawn mowers, weed wackers and hedge trimmers  traffic is awful  starbucks, CVS, subway and other chains are replacing everything",City general,Noise,Development,More diverse and independent businesses,Development,Against development,Transport,Congestion,,,,,,,,
2015,"Just one? Seriously? You might want to check out the north sidewalk on Cloverfield for starters, yeah the one you just spent so much time on. People in wheelchairs or pushing strollers can't use it because it's so narrow in parts. Pretty sure that is not ADA compliant. Then you can reconsider the grass ""decorations"" that were planted on Cloverfield. They collect trash and have grown so high in some areas that people exiting their building can't see oncoming traffic.   I'll leave you with those for now, but don't think they're the only issues. How about the meth heads and the mentally ill homeless and roads that aren't safe for bicyclists or pedestrian crossing? Oh wait, I went over my allotted ""One thing"".",City general,Accessibility for a range of disabilities,City general,Cleanliness/Maintenance,Local services,Homeless,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,
2015,1.) Business should hire locally (and be given an incentive to do so) in order to reduce traffic from employees that commute in to SM when there are capable people locally to fill those jobs.   2.) Do something about traffic/parking downtown SM - most locals stop going there because it is so difficult and congested. I go to West LA to run similar errands and it takes less time to get there and back. Perhaps local residents have a parking lot designated just for them if they have the sticker on their car...?  3.) Do something to reduce the amount of planes at the SM Airport.  4.) Figure out a way to fund the schools so that the parents aren't heavily relied upon all the time.,Aiport/Air traffic,Negative airport/Air traffic,Local services,Schools,Other,Other,Transport,Parking,,,,,,,,
2015,"Born and raised in Santa Monica and a product of SMMUSD. Most importantly, stop trying to make Santa Monica a ""walk-city""; this is Los Angeles and you will never be able to not own a car here. The new train line has been a complete boondoggle wasting hundreds of millions of dollars implementing old technology that will make traffic horrendous. Stop the over-development of our city, stop building upwards which increases pressure on existing city infrastructure and most importantly, STOP MAKING TRAFFIC WORSE!!! The building of CHICANES has got to be one of the biggest wastes of tax dollars I have ever seen, adds no benefit and increases traffic. Also, the city council has repeatedly been acting in their own personal interests instead of the constituents who elected them! No more selling out to big business (Hines development, rows of new hotels on Ocean - South of the 10 fwy, etcetera). Also, rent control is severely affecting  the quality of available rental properties (and I rent) as landlords have no incentive to update them; landlords shouldn't be subsidizing long-term tenants rents ""just because they've been there a long time""",Development,Against development,City Council,Negative view of City Council,Transport,Congestion,Transport,Other,,,,,,,,
2015,"Santa Monica should greatly restrict development that does not benefit the residents. Instead of overly large business developments and hotels, I would prefer more civic development such as museums, cinemas, concert venues and open spaces, such as parks. The recent overdevelopment of hotels and businesses has resulted increased the amount of traffic and reduced the availability of parking in the city. The suggestion that we should all ride bikes is not realistic for those of us over the age of 65. The quality of life has diminished in this important aspect of living in Santa Monica over the last 15-20 years.",Development,Against development,Culture,Amenities and events,Transport,Congestion,Transport,Parking,,,,,,,,
2015,Get some nice restaurants on Montana; reduce traffic on Wilshire; add crosswalks near Franklin School; get more trees in the local schools;,Culture,Amenities and events,Other,Other,Transport,Congestion,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,
